@tick,lastViewDistance,renderedChunks,totalChunks
1,5.0,310.0,24.0
2,5.0,310.0,24.0
3,5.0,310.0,24.0
4,5.0,310.0,24.0
5,5.0,310.0,24.0
6,5.0,310.0,24.0
7,5.0,310.0,24.0
8,5.0,310.0,24.0
9,5.0,310.0,24.0
10,5.0,310.0,24.0
11,5.0,310.0,24.0
12,5.0,310.0,24.0
13,5.0,310.0,24.0
14,5.0,310.0,24.0
15,5.0,310.0,24.0
16,5.0,310.0,24.0
17,5.0,310.0,24.0
18,5.0,310.0,24.0
19,5.0,310.0,24.0
20,5.0,310.0,24.0
21,5.0,310.0,24.0
22,5.0,310.0,24.0
23,5.0,310.0,24.0
24,5.0,310.0,24.0
25,5.0,310.0,24.0
26,5.0,310.0,24.0
27,5.0,310.0,24.0
28,5.0,310.0,24.0
29,5.0,310.0,24.0
30,5.0,310.0,24.0
31,5.0,310.0,24.0
32,5.0,310.0,24.0
33,5.0,310.0,24.0
34,5.0,310.0,24.0
35,5.0,310.0,24.0
36,5.0,310.0,24.0
37,5.0,310.0,24.0
38,5.0,310.0,24.0
39,5.0,310.0,24.0
40,5.0,310.0,24.0
41,5.0,310.0,24.0
42,5.0,310.0,24.0
43,5.0,310.0,24.0
44,5.0,310.0,24.0
45,5.0,310.0,24.0
46,5.0,310.0,24.0
47,5.0,310.0,24.0
48,5.0,310.0,24.0
49,5.0,310.0,24.0
50,5.0,310.0,24.0
51,5.0,310.0,24.0
52,5.0,310.0,24.0
53,5.0,310.0,24.0
54,5.0,310.0,24.0
55,5.0,310.0,24.0
56,5.0,310.0,24.0
57,5.0,310.0,24.0
58,5.0,310.0,24.0
59,5.0,310.0,24.0
60,5.0,310.0,24.0
61,5.0,310.0,24.0
62,5.0,310.0,24.0
63,5.0,310.0,24.0
64,5.0,310.0,24.0
65,5.0,310.0,24.0
66,5.0,310.0,24.0
67,5.0,310.0,24.0
68,5.0,310.0,24.0
69,5.0,310.0,24.0
70,5.0,310.0,24.0
71,5.0,310.0,24.0
72,5.0,310.0,24.0
73,5.0,310.0,24.0
74,5.0,310.0,24.0
75,5.0,310.0,24.0
76,5.0,310.0,24.0
77,5.0,310.0,24.0
78,5.0,310.0,24.0
79,5.0,308.0,24.0
80,5.0,306.0,24.0
81,5.0,296.0,24.0
82,5.0,293.0,24.0
83,5.0,289.0,24.0
84,5.0,287.0,24.0
85,5.0,285.0,24.0
86,5.0,278.0,24.0
87,5.0,276.0,24.0
88,5.0,276.0,24.0
89,5.0,275.0,24.0
90,5.0,275.0,24.0
91,5.0,280.0,24.0
92,5.0,282.0,24.0
93,5.0,281.0,24.0
94,5.0,273.0,24.0
95,5.0,269.0,24.0
96,5.0,270.0,24.0
97,5.0,271.0,24.0
98,5.0,269.0,24.0
99,5.0,268.0,24.0
100,5.0,259.0,24.0
101,5.0,262.0,24.0
102,5.0,257.0,24.0
103,5.0,264.0,24.0
104,5.0,258.0,24.0
105,5.0,257.0,24.0
106,5.0,259.0,24.0
107,5.0,256.0,24.0
108,5.0,253.0,24.0
109,5.0,253.0,24.0
110,5.0,253.0,24.0
111,5.0,253.0,24.0
112,5.0,252.0,24.0
113,5.0,251.0,24.0
114,5.0,252.0,24.0
115,5.0,247.0,24.0
116,5.0,246.0,24.0
117,5.0,245.0,24.0
118,5.0,247.0,24.0
119,5.0,246.0,24.0
120,5.0,246.0,24.0
121,5.0,244.0,24.0
122,5.0,245.0,24.0
123,5.0,242.0,24.0
124,5.0,242.0,24.0
125,5.0,241.0,24.0
126,5.0,242.0,24.0
127,5.0,242.0,24.0
128,5.0,240.0,24.0
129,5.0,242.0,24.0
130,5.0,242.0,24.0
131,5.0,243.0,24.0
132,5.0,247.0,24.0
133,5.0,247.0,24.0
134,5.0,249.0,24.0
135,5.0,250.0,24.0
136,5.0,253.0,24.0
137,5.0,252.0,24.0
138,5.0,251.0,24.0
139,5.0,254.0,24.0
140,5.0,253.0,24.0
141,5.0,254.0,24.0
142,5.0,254.0,24.0
143,5.0,254.0,24.0
144,5.0,253.0,24.0
145,5.0,254.0,24.0
146,5.0,256.0,24.0
147,5.0,256.0,24.0
148,5.0,258.0,24.0
149,5.0,259.0,24.0
