@tick,cpu#15,cpu#14,cpu#13,cpu#12,cpu#11,cpu#10,cpu#2,cpu#1,cpu#0,cpu#9,cpu#8,cpu#7,cpu#6,cpu#5,cpu#4,cpu#3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
32,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
33,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
34,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
35,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
36,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
37,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
38,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
39,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
40,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
41,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
42,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
43,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
44,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
45,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
46,17.160686427457097,63.338533541341654,24.610591900311526,48.75,46.25,51.246105919003114,60.9375,9.82839313572543,53.52112676056338,24.492979719188767,48.75,9.82839313572543,65.78125,21.875,63.4375,9.6875
