@tick,heap MiB
1,5208.0
2,5226.0
3,5242.0
4,5250.0
5,5256.0
6,5258.0
7,5264.0
8,5270.0
9,5276.0
10,5278.0
11,5294.0
12,5294.0
13,5300.0
14,5308.0
15,5312.0
16,5314.0
17,5318.0
18,5326.0
19,5330.0
20,5332.0
21,5342.0
22,5348.0
23,5350.0
24,5362.0
25,5366.0
26,5368.0
27,5376.0
28,5382.0
29,5384.0
30,5386.0
31,5398.0
32,5402.0
33,5412.0
34,5418.0
35,5418.0
36,5424.0
37,5432.0
38,5438.0
39,5440.0
40,5444.0
41,5448.0
42,5454.0
43,5458.0
44,5464.0
45,5468.0
46,5474.0
47,5476.0
48,5478.0
49,5484.0
50,5492.0
51,5496.0
52,5498.0
53,5504.0
54,5512.0
55,5514.0
56,5516.0
57,5522.0
58,5524.0
59,5532.0
60,5534.0
61,5536.0
62,5538.0
63,5544.0
64,5546.0
65,5552.0
66,5558.0
67,5560.0
68,5562.0
69,5566.0
70,5568.0
71,5576.0
72,5580.0
73,5582.0
74,5582.0
75,5588.0
76,5590.0
77,5600.0
78,5602.0
79,5604.0
80,5610.0
81,5616.0
82,5622.0
83,5624.0
84,5626.0
85,5632.0
86,5638.0
87,5644.0
88,5646.0
89,5646.0
90,5658.0
91,5664.0
92,5666.0
93,5674.0
94,5682.0
95,5684.0
96,5694.0
97,5702.0
98,5704.0
99,5716.0
100,5720.0
101,5726.0
102,5736.0
103,5740.0
104,5742.0
105,5754.0
106,5758.0
107,5764.0
108,5772.0
109,5776.0
110,5778.0
111,5784.0
112,5798.0
113,5800.0
114,5804.0
115,5814.0
116,5816.0
117,5818.0
118,5824.0
119,5832.0
120,5836.0
121,5836.0
122,5842.0
123,5852.0
124,5854.0
125,5856.0
126,5862.0
127,5870.0
128,5872.0
129,5874.0
130,5880.0
131,5888.0
132,5894.0
133,5896.0
134,5900.0
135,5906.0
136,5912.0
137,5914.0
138,5920.0
139,5924.0
140,5930.0
141,5932.0
142,5934.0
143,5940.0
144,5948.0
145,5950.0
146,5952.0
147,5958.0
148,5966.0
149,5972.0
150,5972.0
151,5978.0
152,5980.0
153,5986.0
154,5990.0
155,5992.0
156,5998.0
157,6004.0
158,6012.0
159,6012.0
160,6014.0
161,6020.0
162,6022.0
163,6028.0
164,6032.0
165,6032.0
166,6034.0
167,6040.0
168,6040.0
169,6044.0
170,6050.0
171,6054.0
172,6056.0
173,6058.0
174,6062.0
175,6064.0
176,6066.0
177,6074.0
178,6076.0
179,6076.0
180,6082.0
181,6082.0
182,6088.0
183,6094.0
184,6094.0
185,6096.0
186,6100.0
187,6102.0
188,6106.0
189,6112.0
190,6116.0
191,6118.0
192,6118.0
193,6124.0
194,6124.0
195,6130.0
196,6136.0
197,6136.0
198,6138.0
199,6142.0
200,6144.0
201,6150.0
202,6154.0
203,6156.0
204,6156.0
205,6162.0
206,6162.0
207,6166.0
208,6170.0
209,6174.0
210,6176.0
211,6176.0
212,6182.0
213,6184.0
214,6188.0
215,6194.0
216,6196.0
217,6198.0
218,6200.0
219,6204.0
220,6210.0
221,6218.0
222,6220.0
223,6220.0
224,6222.0
225,6228.0
226,6230.0
227,6238.0
228,6242.0
229,6244.0
230,6246.0
231,6250.0
232,6252.0
233,6256.0
234,6262.0
235,6264.0
236,6266.0
237,6268.0
238,6274.0
239,6274.0
240,6278.0
241,6286.0
242,6288.0
243,6288.0
244,6294.0
245,6296.0
246,6300.0
247,6304.0
248,6310.0
249,6312.0
250,6314.0
251,6318.0
252,6320.0
253,6326.0
254,6332.0
255,6334.0
256,6336.0
257,6338.0
258,6344.0
259,6344.0
260,6352.0
261,6356.0
262,6358.0
263,6360.0
264,6366.0
265,6366.0
266,6372.0
267,6378.0
268,6380.0
269,6382.0
270,6382.0
271,6388.0
272,6398.0
273,6400.0
274,6400.0
275,6406.0
276,6410.0
277,6418.0
278,6422.0
279,6424.0
280,6430.0
281,6432.0
282,6442.0
283,6444.0
284,6446.0
285,6452.0
286,6454.0
287,6462.0
288,6466.0
289,6468.0
290,6474.0
291,6476.0
292,6484.0
293,6488.0
294,6490.0
295,6492.0
296,6498.0
297,6504.0
298,6512.0
299,6514.0
300,6520.0
301,6528.0
302,6532.0
303,6534.0
304,6540.0
305,6546.0
306,6554.0
307,6556.0
308,6558.0
309,6564.0
310,6572.0
311,6578.0
312,6580.0
313,6586.0
314,6588.0
315,6596.0
316,6600.0
317,6602.0
318,6608.0
319,6610.0
320,6620.0
321,6622.0
322,6624.0
323,6630.0
324,6636.0
325,6642.0
326,6644.0
327,6646.0
328,6652.0
329,6662.0
330,6666.0
331,6670.0
332,6676.0
333,6678.0
334,6688.0
335,6690.0
336,6692.0
337,6698.0
338,6704.0
339,6710.0
340,6712.0
341,6714.0
342,6720.0
343,6724.0
344,6732.0
345,6736.0
346,6738.0
347,6744.0
