@tick,ticktime
1,1.05843399E8
2,5.3877299E7
3,3.0481599E7
4,2.4780099E7
5,1.09518E7
6,9110900.0
7,2.24207E7
8,9459200.0
9,8977600.0
10,8226700.0
11,3.33772E7
12,8308700.0
13,2.3576901E7
14,8478500.0
15,8487600.0
16,7578699.0
17,2.1469001E7
18,1.25809E7
19,9611300.0
20,1.10663E7
21,2.6081001E7
22,1.27231E7
23,1.2534E7
24,2.84028E7
25,9890701.0
26,1.20114E7
27,2.2603899E7
28,7407001.0
29,7150100.0
30,6958701.0
31,3.5091899E7
32,1.0585401E7
33,3.45951E7
34,1.02458E7
35,9327900.0
36,2.2427099E7
37,8903800.0
38,8898401.0
39,8026701.0
40,2.06338E7
41,7703600.0
42,1.02727E7
43,1.00118E7
44,2.3491201E7
45,7220199.0
46,7557599.0
47,7555100.0
48,6737999.0
49,2.38564E7
50,9623400.0
51,8075800.0
52,7894099.0
53,2.581E7
54,8525500.0
55,7152299.0
56,6989200.0
57,1.8879401E7
58,5547199.0
59,6363300.0
60,6309300.0
61,6114700.0
62,5805100.0
63,1.82778E7
64,5710300.0
65,6312100.0
66,6898501.0
67,6423800.0
68,6765900.0
69,1.82373E7
70,6267300.0
71,6221501.0
72,6895000.0
73,6005400.0
74,5581400.0
75,1.82501E7
76,6048800.0
77,1.19017E7
78,7150001.0
79,7199300.0
80,1.9473599E7
81,8188100.0
82,8056700.0
83,7045300.0
84,6468400.0
85,1.9159901E7
86,8218000.0
87,8578300.0
88,8751899.0
89,7619001.0
90,2.7965E7
91,1.04963E7
92,1.13526E7
93,2.4882299E7
94,1.2947999E7
95,1.13635E7
96,2.6276401E7
97,1.43247E7
98,1.35148E7
99,2.7748699E7
100,1.29606E7
101,2.4459999E7
102,1.19664E7
103,1.11586E7
104,1.0546001E7
105,2.8302E7
106,1.32141E7
107,2.4748E7
108,1.1473201E7
109,1.03285E7
110,9091700.0
111,2.20102E7
112,1.53934E7
113,9777399.0
114,2.3354299E7
115,9139400.0
116,9631799.0
117,9002201.0
118,2.0897699E7
119,9169800.0
120,9434600.0
121,9257200.0
122,2.2759801E7
123,9301300.0
124,8358800.0
125,8952801.0
126,2.0564701E7
127,9483599.0
128,9014000.0
129,9344400.0
130,2.07939E7
131,9855501.0
132,9294400.0
133,8513499.0
134,2.0556901E7
135,8954099.0
136,1.03069E7
137,8756500.0
138,2.08458E7
139,8306999.0
140,8813300.0
141,6957000.0
142,8659200.0
143,2.1156401E7
144,9054700.0
145,7347001.0
146,9610599.0
147,2.2075701E7
148,9336700.0
149,7980801.0
150,7997700.0
151,2.0769E7
152,6493600.0
153,7470900.0
154,7449400.0
155,1.18632E7
156,2.06007E7
157,8846899.0
158,7260800.0
159,6205799.0
160,6223700.0
161,1.8472499E7
162,5902500.0
163,6288200.0
164,6353799.0
165,5457600.0
166,5708300.0
167,1.78177E7
168,5238400.0
169,5605701.0
170,5431400.0
171,5547600.0
172,5174100.0
173,5122400.0
174,1.80431E7
175,5389001.0
176,6048099.0
177,6409300.0
178,5742099.0
179,5584501.0
180,2.0994099E7
181,6125401.0
182,8410100.0
183,6440500.0
184,5452701.0
185,5093199.0
186,1.6901999E7
187,5523200.0
188,5576100.0
189,5887999.0
190,6436299.0
191,5594099.0
192,5458800.0
193,1.82042E7
194,4948700.0
195,6720601.0
196,6694299.0
197,5646599.0
198,7943801.0
199,1.80208E7
200,5137999.0
201,5306801.0
202,5575800.0
203,4723799.0
204,5257999.0
205,1.76047E7
206,5706399.0
207,6474400.0
208,5048600.0
209,5175700.0
210,6515100.0
211,4981701.0
212,1.81433E7
213,5724201.0
214,5886500.0
215,6475200.0
216,5349900.0
217,5227899.0
218,8306400.0
219,1.83226E7
220,5944200.0
221,6168500.0
222,5610600.0
223,5518200.0
224,5742800.0
225,1.74393E7
226,5660100.0
227,5672801.0
228,6385000.0
229,5272100.0
230,5722700.0
231,1.75536E7
232,5307301.0
233,5845300.0
234,6007200.0
235,5838100.0
236,6081600.0
237,5490200.0
238,1.7326299E7
239,5216700.0
240,5934800.0
241,6135200.0
242,5866999.0
243,5446399.0
