x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,block_entity_count,ticking_ticket,ticking_level,block_ticks,fluid_ticks
0,0,30,true,minecraft:full,ENTITY_TICKING,done,done,done,Ticket[start 30 (INSTANCE)] at 0 force ticks false,false,0,Ticket[start 30 (INSTANCE)] at 0 force ticks false,30,0,0
-1,-1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
-1,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
-1,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
0,-1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
0,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
1,-1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
1,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
1,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,no_ticket,false,0,no_ticket,31,0,0
-2,-2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-2,-1,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-2,0,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-1,-2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
0,-2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-2,1,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-2,2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-1,2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
0,2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
1,-2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
1,2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
2,-2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
2,-1,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
2,0,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
2,1,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
2,2,32,true,minecraft:full,BLOCK_TICKING,done,done,unloaded,no_ticket,false,0,no_ticket,32,0,0
-3,-3,33,true,minecraft:full,FULL,done,unloaded,unloaded,no_ticket,false,0,no_ticket,33,0,0
-3,-2,33,true,minecraft:full,FULL,done,unloaded,unloaded,no_ticket,false,0,no_ticket,33,0,0
-3,-1,33,true,minecraft:full,FULL,done,unloaded,unloaded,no_ticket,false,0,no_ticket,33,0,1
-2,-3,33,true,minecraft:full,FULL,done,unloaded,unloaded,no_ticket,false,0,no_ticket,33,0,0
-1,-3,33,true,minecraft:full,FULL,done,unloaded,unloaded,no_ticket,false,0,no_ticket,33,0,0
