x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,block_entity_count,ticking_ticket,ticking_level,block_ticks,fluid_ticks
1,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([1, 1])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([1, 1])] at 35 force ticks false",31,0,0
0,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([0, 0])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([0, 0])] at 35 force ticks false",31,0,0
0,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([0, 1])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([0, 1])] at 35 force ticks false",31,0,0
0,2,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([0, 2])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([0, 2])] at 35 force ticks false",31,0,0
1,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([1, 0])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([1, 0])] at 35 force ticks false",31,0,0
1,2,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([1, 2])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([1, 2])] at 35 force ticks false",31,0,0
2,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([2, 0])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([2, 0])] at 35 force ticks false",31,0,0
2,1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([2, 1])] at 35 force ticks false",false,0,"Ticket[imm_ptl 31 ([2, 1])] at 35 force ticks false",31,0,0
2,2,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([2, 2])] at 61 force ticks false",false,0,"Ticket[imm_ptl 31 ([2, 2])] at 61 force ticks false",31,0,0
-1,-1,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([-1, -1])] at 64 force ticks false",false,0,"Ticket[imm_ptl 31 ([-1, -1])] at 64 force ticks false",31,0,0
-1,0,31,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[imm_ptl 31 ([-1, 0])] at 64 force ticks false",false,0,"Ticket[imm_ptl 31 ([-1, 0])] at 64 force ticks false",31,0,0
